state	deck	nply	cand	move0	move	prio	dQ_est	se_est	dQ_refA	se_refA	dQ_refB	se_refB
1	14	31	1	Yxd0	B10p0	0.139	-0.26	1.00	-6.09	2.31	-0.90	0.57
1	14	31	2	Yxd0	G2p0	0.023	-0.45	1.80	-11.81	2.60	-6.08	0.69
2	13	32	1	W9p0	G3p0	0.352	1.01	2.18	-0.69	1.11	1.17	0.71
2	13	32	2	W9p0	B9p0	0.114	-1.60	1.81	-3.72	1.67	-2.74	0.64
2	13	32	3	W9p0	R10p0	0.087	-1.39	1.45	-3.00	1.61	-1.22	0.62
2	13	32	4	W9p0	W10p0	0.042	-0.30	1.64	-5.16	1.66	-3.98	0.65
3	12	33	1	Wxd0	B10p0	0.171	-1.52	1.09	-0.03	1.72	-0.75	0.58
3	12	33	2	Wxd0	Rxp0	0.087	0.72	1.94	0.22	2.28	-0.57	0.61
3	12	33	3	Wxd0	R6p0	0.049	-0.07	1.64	-2.47	2.07	1.10	0.69
4	11	34	1	G3p0	W10p0	0.212	-1.97	1.39	-1.08	1.88	-0.90	0.54
4	11	34	2	G3p0	R10p0	0.101	-2.47	1.52	-0.73	1.66	-2.04	0.57
4	11	34	3	G3p0	B9p0	0.084	-3.32	1.55	-2.33	1.70	-3.61	0.58
4	11	34	4	G3p0	G5p0	0.030	-7.74	1.66	-7.64	2.08	-6.47	0.57
5	10	35	1	B10p0	Rxd0	0.166	1.19	1.35	2.42	1.75	1.38	0.51
5	10	35	2	B10p0	G2d0	0.166	1.42	2.37	3.06	1.67	1.39	0.68
5	10	35	3	B10p0	R6d0	0.119	-0.96	1.43	1.64	1.77	0.41	0.53
5	10	35	4	B10p0	Gxd0	0.101	-0.47	1.31	1.00	1.48	1.01	0.47
6	9	36	1	G5p0	W10p0	0.242	-1.30	1.35	1.92	1.52	-0.31	0.51
6	9	36	2	G5p0	B9p0	0.119	-1.47	1.28	0.00	1.72	-0.81	0.52
6	9	36	3	G5p0	R10p0	0.111	-1.57	1.55	1.31	1.78	-0.49	0.53
6	9	36	4	G5p0	G5p5	0.023	1.98	2.78	-0.55	3.44	-2.33	0.79
7	8	37	1	B10p0	B4d0	0.260	2.34	1.36	-3.92	1.73	-0.55	0.46
7	8	37	2	B10p0	Rxd0	0.124	2.57	0.99	2.11	1.09	2.00	0.66
7	8	37	3	B10p0	G2d0	0.120	3.06	1.99	2.69	1.16	1.85	0.39
7	8	37	4	B10p0	Gxd0	0.076	2.78	0.84	0.97	1.40	1.92	0.37
8	7	38	1	G5p0	G5p5	0.177	-2.59	1.71	-3.69	2.06	-3.58	0.51
8	7	38	2	G5p0	G5p3	0.125	-1.94	1.70	-0.77	2.14	-3.01	0.51
8	7	38	3	G5p0	G5p1	0.120	-1.28	1.77	-2.72	1.80	-2.52	0.51
8	7	38	4	G5p0	R9p0	0.089	-1.71	1.00	1.92	1.05	-1.06	0.35
